"ESTU_TIPODOCUMENTO","ESTU_NACIONALIDAD","ESTU_GENERO","ESTU_MCPIO_RESIDE","COLE_AREA_UBICACION","COLE_NOMBRE_SEDE","DESEMP_LECTURA_CRITICA","DESEMP_MATEMATICAS","DESEMP_C_NATURALES","DESEMP_SOCIALES_CIUDADANAS","DESEMP_INGLES","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_C_NATURALES","PUNT_SOCIALES_CIUDADANAS","PUNT_INGLES","PUNT_GLOBAL","PERCENTIL_LECTURA_CRITICA","PERCENTIL_MATEMATICAS","PERCENTIL_C_NATURALES","PERCENTIL_SOCIALES_CIUDADANAS","PERCENTIL_INGLES","PERCENTIL_GLOBAL"
"TI","COLOMBIA","F","CALI","URBANO","INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL HERNANDO NAVIA VARON - SEDE PRINCIPAL",2,2,2,1,"A1",50,49,47,40,54,235,29,31,33,22,39,29
"CC","COLOMBIA","F","CALI","URBANO","INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL HERNANDO NAVIA VARON - SEDE PRINCIPAL",3,2,2,1,"A-",53,45,44,34,35,217,35,25,27,10,10,21
"TI","COLOMBIA","M","CALI","URBANO","INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL HERNANDO NAVIA VARON - SEDE PRINCIPAL",3,3,2,2,"A1",60,52,44,41,49,246,54,38,27,23,32,34
"CC","COLOMBIA","M","CALI","URBANO","INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL HERNANDO NAVIA VARON - SEDE PRINCIPAL",3,3,2,2,"A2",56,54,46,44,64,255,41,43,30,29,55,38
"TI","COLOMBIA","F","CALI","URBANO","COL VIRTUAL SIGLO XXI                                                                               ",2,2,1,1,"A-",41,39,38,34,44,192,11,15,14,9,23,11
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",2,2,2,1,"A1",38,38,48,33,53,202,7,13,35,9,38,15
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,2,2,"A1",51,54,50,42,57,249,31,42,38,25,45,35
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,3,3,"A2",60,64,61,61,64,308,55,66,62,63,55,61
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,2,2,"A1",53,52,52,42,48,248,34,38,42,25,31,35
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,2,2,"A-",61,57,55,54,47,280,56,49,48,48,29,48
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,2,2,"A2",52,53,49,46,63,255,32,39,36,32,54,38
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,2,3,"A-",63,55,55,60,45,286,63,44,49,61,26,51
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,2,2,2,"A-",53,47,54,53,43,255,34,28,48,46,22,38
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,2,2,"A1",58,55,49,49,57,265,47,43,37,39,45,42
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,4,3,3,"B1",60,71,70,62,78,333,53,83,87,66,77,73
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,3,3,"B1",56,61,57,58,74,296,41,57,53,57,69,55
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",4,3,3,3,"A2",66,61,61,59,61,308,72,57,63,58,51,61
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,2,3,"A2",65,54,50,59,62,287,69,42,39,59,53,51
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",1,1,1,2,"A-",33,31,36,43,34,178,2,5,10,27,9,6
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",2,2,2,1,"A-",44,36,44,40,38,204,16,10,26,21,14,16
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,2,2,"A2",58,51,53,45,62,263,49,36,45,31,53,41
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,2,2,3,"A2",51,49,45,58,66,260,31,32,28,57,58,40
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,2,3,"B1",57,57,55,58,70,289,45,49,49,57,63,52
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,3,3,"A1",58,58,61,57,51,290,48,51,63,54,36,52
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,2,3,1,"A1",54,48,59,40,54,253,39,29,58,21,41,37
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,3,2,"A1",52,59,59,53,56,279,33,54,57,47,44,47
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,2,3,"B1",63,51,55,56,74,288,63,35,48,52,68,52
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,3,2,"A2",61,57,58,54,58,288,56,49,57,49,47,51
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,2,2,1,"A2",52,48,48,37,60,237,32,29,35,16,49,30
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",2,2,2,2,"A1",48,40,45,44,54,225,23,15,28,30,40,25
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,2,2,"A1",64,53,55,53,54,280,65,40,49,47,41,48
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",4,3,3,2,"B1",70,65,64,48,72,313,83,68,69,36,66,63
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",2,2,1,1,"A-",38,43,36,34,42,190,7,21,10,9,20,11
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",2,3,2,1,"A-",50,57,51,37,47,243,29,49,41,16,29,33
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,3,3,"A1",56,63,60,60,54,297,42,62,61,61,40,55
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",2,2,2,1,"A1",45,43,42,40,49,215,18,21,23,22,32,21
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",4,3,3,3,"B1",72,63,57,68,74,328,87,63,52,79,70,71
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",2,2,2,2,"A1",47,44,41,42,48,219,21,22,20,26,31,23
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,3,3,"B1",62,61,60,64,73,313,61,58,61,71,68,63
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",2,2,2,1,"A-",43,48,45,35,47,215,13,30,29,11,29,21
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",2,2,2,2,"A2",49,43,52,48,63,246,26,21,42,38,54,34
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",4,3,3,3,"A2",74,57,63,64,62,322,91,49,67,71,53,67
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,3,3,"A2",63,62,59,59,64,305,63,60,59,60,55,59
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO EL AMPARO",3,3,3,2,"B1",63,64,67,55,72,315,64,64,80,51,66,64
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO ANGLO AMERICANO",4,4,4,4,"B+",67,74,74,72,82,363,74,89,95,89,87,89
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO ANGLO AMERICANO",3,3,3,3,"A2",62,60,57,58,67,299,61,56,52,56,59,56
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO ANGLO AMERICANO",4,4,4,4,"B+",77,80,71,74,83,380,97,97,90,93,89,96
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO ANGLO AMERICANO",4,4,4,3,"B1",74,78,71,60,78,357,92,95,89,60,79,86
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO ANGLO AMERICANO",3,3,3,1,"B1",63,67,65,39,75,299,62,72,72,20,71,56
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO ANGLO AMERICANO",3,3,3,2,"B1",58,66,66,51,71,305,49,70,76,44,64,59
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO ANGLO AMERICANO",4,4,4,3,"B+",71,81,71,69,85,370,85,97,89,83,93,92
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO ANGLO AMERICANO",3,4,3,3,"B+",65,74,68,62,81,342,68,89,82,67,85,78
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO ANGLO AMERICANO",3,3,3,3,"B+",63,65,69,62,79,329,63,68,84,66,79,71
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO ANGLO AMERICANO",3,3,2,3,"B1",64,68,53,56,73,306,64,74,45,52,67,60
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO ANGLO AMERICANO",4,4,4,3,"B+",71,72,72,66,81,355,85,85,91,76,84,85
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO ANGLO AMERICANO",4,3,3,3,"B+",75,63,63,67,81,340,93,61,69,78,84,77
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",4,4,4,4,"B1",69,74,73,75,77,365,80,88,92,94,75,90
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",4,4,4,4,"B+",76,77,76,77,87,387,95,94,97,97,96,97
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",3,3,2,2,"A2",56,67,52,46,66,280,42,72,43,33,58,48
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",4,3,3,4,"B1",68,62,62,75,69,335,77,60,66,94,62,74
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",4,3,4,4,"B1",69,68,75,71,76,356,79,74,96,88,72,86
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",3,3,3,2,"B1",58,66,64,54,75,308,47,70,71,49,71,61
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",3,4,2,2,"B1",53,85,54,46,73,303,34,99,46,33,67,58
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",4,4,4,4,"B1",76,77,72,75,72,374,95,93,91,94,66,94
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",3,4,3,3,"B+",56,75,64,56,79,320,44,90,72,53,80,66
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",4,3,4,4,"B1",71,69,76,77,77,368,86,77,97,96,75,91
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",4,3,3,3,"B1",71,60,65,61,78,327,85,56,73,63,78,70
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",3,3,3,3,"B1",60,58,58,56,72,295,54,50,55,52,66,55
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",3,4,3,2,"B1",61,100,56,51,75,338,57,100,52,43,70,76
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",3,3,3,3,"B+",65,64,65,62,79,326,68,64,73,66,80,69
"CC","COLOMBIA","F","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",3,4,3,3,"B1",65,72,64,67,77,339,68,85,70,78,76,76
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",4,4,4,4,"B+",78,76,81,76,91,394,98,92,100,95,99,98
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",4,4,4,3,"B+",69,73,71,69,83,357,80,86,88,82,90,86
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",4,3,3,4,"B+",74,68,65,75,89,360,92,74,73,94,98,88
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",3,3,2,3,"B1",57,52,54,57,75,283,45,37,47,55,71,49
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",3,3,2,2,"A2",54,55,48,48,67,262,37,44,34,37,60,41
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",4,3,3,3,"B1",69,68,62,63,75,331,79,74,65,68,71,72
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",4,4,4,4,"B+",75,72,73,74,83,371,93,84,93,92,90,93
"CC","COLOMBIA","M","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",4,4,4,4,"B+",80,74,78,78,82,389,99,89,98,98,87,98
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",3,3,2,1,"B1",51,57,46,37,72,248,29,48,30,15,66,35
"CC","COLOMBIA","M","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",3,2,2,2,"A2",57,44,45,49,62,249,44,22,29,39,52,35
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",3,4,3,2,"B1",65,71,65,54,76,323,69,83,75,48,73,68
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO BRITÁNICO-THE BRITISH SCHOOL",3,3,3,3,"B+",65,60,56,64,80,313,69,56,52,72,82,63
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",2,2,2,2,"A-",47,43,47,43,44,225,22,21,33,27,23,25
"CC","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,3,2,2,"A1",58,56,52,49,48,267,48,47,42,38,31,43
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",2,3,3,3,"A1",49,59,57,58,55,278,27,53,53,57,41,47
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",4,3,3,3,"A2",69,70,67,65,60,336,79,80,78,72,49,75
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",4,3,3,3,"A1",73,52,67,63,49,313,89,38,78,69,32,63
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,3,3,3,"A2",61,60,60,61,65,304,58,56,60,63,57,59
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,2,2,3,"A1",60,49,54,56,49,272,54,32,46,53,32,45
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,3,2,2,"A2",53,54,43,43,58,245,34,42,24,26,47,34
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",2,2,2,2,"A1",41,43,46,43,51,219,11,21,31,28,36,23
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",2,2,1,1,"A1",39,37,39,40,49,198,8,11,15,22,32,13
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",4,3,3,4,"A1",71,68,66,73,49,340,86,75,77,91,32,77
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,4,3,2,"A2",60,72,68,53,65,317,53,84,80,47,57,65
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,2,2,2,"A1",55,41,47,50,51,242,39,17,33,41,36,32
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,3,3,2,"A1",57,66,59,49,55,288,47,70,57,38,42,51
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,3,3,2,"A1",54,61,61,54,52,285,39,58,63,48,37,50
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",4,3,3,3,"A2",67,68,68,64,66,333,73,75,82,69,59,73
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",2,2,2,1,"A-",46,46,41,34,47,211,19,27,20,9,28,19
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,3,1,2,"A-",60,57,39,55,44,260,54,49,16,51,23,40
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,3,3,2,"A2",61,61,62,52,66,298,57,59,65,44,58,56
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,3,2,2,"A1",65,56,53,54,57,285,68,45,45,48,45,50
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,2,1,2,"A1",51,47,36,44,51,225,30,28,10,29,36,25
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,3,3,3,"A2",63,60,64,62,63,312,61,56,71,66,54,62
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,3,2,3,"A1",55,52,54,66,57,284,39,37,46,76,45,50
"CC","COLOMBIA","M","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,4,3,2,"A2",57,72,63,53,67,308,44,84,67,47,59,61
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",2,2,2,2,"A-",43,43,48,42,47,221,14,20,35,25,29,23
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,2,2,2,"A-",52,43,43,48,29,226,32,20,25,38,4,25
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",2,3,2,1,"A1",48,54,41,36,48,225,24,42,19,14,30,25
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,2,2,2,"A-",54,48,51,49,46,251,38,29,40,40,27,36
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,3,2,2,"A1",58,56,54,45,50,265,49,47,47,31,34,42
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,2,2,1,"A-",58,47,50,35,41,235,49,29,39,11,17,29
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",2,2,1,1,"A-",47,49,40,37,42,216,21,32,19,15,19,21
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",2,3,3,2,"A1",49,56,59,49,53,266,26,47,57,39,39,42
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,2,2,1,"A-",56,49,42,40,40,231,44,31,22,21,16,28
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,3,3,3,"B1",63,69,69,70,76,342,63,76,85,85,74,78
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",2,3,2,2,"A1",48,51,54,48,55,253,25,36,46,37,41,37
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",2,2,2,1,"A-",50,44,45,31,32,208,28,21,28,5,7,18
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",4,3,3,2,"A2",66,60,58,54,66,300,71,56,56,48,59,57
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,2,2,1,"A-",51,45,47,38,40,224,31,24,32,16,17,25
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",2,2,1,1,"A-",46,39,39,35,44,200,20,15,15,12,23,14
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",2,2,2,2,"A1",50,41,48,47,50,234,29,18,35,36,34,29
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",2,2,2,1,"A1",48,36,47,23,51,197,24,10,33,1,36,13
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,3,3,2,"A2",64,61,65,53,62,304,67,57,72,47,53,59
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,3,3,4,"B+",64,63,66,72,89,340,66,63,75,90,98,77
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,2,2,3,"A1",63,47,49,59,53,272,61,28,36,58,38,45
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,3,3,3,"B1",61,56,60,58,69,298,58,46,60,56,61,56
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,2,2,1,"A-",52,47,42,29,36,210,32,29,22,3,11,19
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",2,3,3,2,"A1",50,53,57,47,56,260,28,40,53,35,44,40
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,3,2,2,"A1",58,57,55,50,50,273,49,49,48,41,34,45
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",2,1,2,1,"A1",45,35,53,34,49,212,18,9,45,9,33,19
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,4,4,3,"A1",64,74,77,64,53,342,64,88,98,71,39,78
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO PARROQUIAL NUESTRA SEÑORA DE GUADALUPE",3,3,3,2,"B1",55,61,57,47,68,280,41,59,53,35,60,48
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",4,4,4,4,"A2",73,75,73,73,63,363,90,91,92,91,55,89
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",4,3,3,3,"A1",67,57,61,59,54,302,73,49,63,59,41,58
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",4,3,3,3,"A2",73,63,57,62,65,319,90,62,53,66,57,66
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",3,4,3,3,"A2",64,71,65,61,65,326,65,83,73,62,56,70
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",2,3,2,2,"A2",49,60,55,46,59,265,27,56,50,34,48,42
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",3,3,2,2,"A-",57,52,48,46,43,251,45,39,35,33,21,36
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",4,3,3,3,"A2",67,68,66,65,62,331,74,75,75,73,53,72
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",4,3,3,3,"A1",70,64,65,56,56,316,82,65,72,52,43,64
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",4,4,3,3,"A2",75,72,66,63,66,344,94,85,77,67,57,79
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",3,3,2,3,"A1",59,55,52,56,48,275,51,45,43,53,30,46
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",3,3,3,3,"A2",62,61,66,64,65,317,60,57,76,69,56,65
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",2,3,2,2,"A1",38,54,50,43,52,233,7,42,38,28,38,29
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",2,2,2,1,"A1",45,48,42,40,55,223,17,29,23,21,42,24
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",3,3,3,3,"A2",64,68,59,57,61,310,64,75,58,54,52,61
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",4,3,3,3,"A1",70,61,62,59,55,312,82,58,66,58,41,62
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",3,3,3,2,"A2",64,67,57,55,59,303,67,73,52,50,49,58
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",4,3,3,3,"A2",68,68,63,66,60,329,76,74,68,75,50,71
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",3,4,3,3,"A-",63,74,64,63,47,323,64,89,70,67,29,68
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",3,3,3,2,"A1",57,55,61,53,55,282,45,43,63,46,42,49
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",3,3,3,3,"A-",54,58,56,64,47,286,37,52,50,71,29,51
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",3,3,2,2,"B1",58,60,49,43,68,268,49,55,37,28,60,43
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",3,3,3,2,"A1",51,70,59,53,49,288,30,79,57,46,33,51
"TI","COLOMBIA","F","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",4,4,3,3,"B1",69,71,65,67,72,342,80,81,73,79,66,78
"TI","COLOMBIA","M","CALI","URBANO","COLEGIO LUIS CARLOS GALAN SARMIENTO",3,3,2,2,"A1",56,52,49,50,54,260,44,39,37,42,40,40
