Base
134.4
134
137.5
143.2
141.5
144.1
141.2
141.5
145.3
152
160.7
179.4
173.6
171.9
170.8
172.4
173.9
179
178.3
177.6
176.3
184.4
191.6
219.6
207.6
206.2
207.1
207.9
207.3
217.3
210.2
205.2
206.5
208.1
222.8
258.5
237.4
240.4
225.7
229.4
231.3
234.2
237.5
243.9
243.4
247
257.4
289.1
269.3
258.1
253.1
259.6
251
262.1
258.9
247.3
245
250
260.4
335.3
308
307.4
310.1
298.5
302.5
310.5
320.8
325.2
316.5
323.6
357.7
429.3
425.4
418
432.5
411.6
419.5
427
428.2
407.1
412.8
422.6
455.8
549.8
490.5
508.2
517.8
520.1
550.6
586.8
570
582.7
565.9
578.4
589.9
715.8
657.1
660.8
691.5
661.7
678.2
701.4
701.7
703.6
689.5
727.8
802.3
914.9
876.7
882.5
887.5
918.6
924.6
933.1
985.4
954.8
910.1
921.6
966.3
1171.7
1032.8
1051.9
1071.5
1084.5
1090.8
1121.2
1165.1
1132.2
1153.3
1205.3
1279.4
1493.5
1508.8
1420.7
1343.6
1323.7
1409.2
1412.5
1423.1
1460
1564.2
1707.1
1916.6
2290
2028.1
2152.9
2214.3
2396.4
2436
2604.9
2569.2
2590.8
2562.3
2670.2
2860.1
3312.5
3010.3
3031.2
3137.2
3184.6
3337.6
3492.9
3458
3586.4
3484.4
3621.9
3833.6
4419
4092.1
4135.3
4339.5
4300.7
4314.1
4535
4620
4473.5
4596.8
4744.6
5062.5
5634.4
5165.2
5203.9
5028.2
5422.7
5528.5
5559.7
5480.8
5404.3
5521.7
5605.1
5855.5
6267.1
5987.2
5660.7
6158.7
5888.4
5839.2
5928.3
5936.8
5777.8
5806.7
5577.3
5567.8
6627.6
6044.2
5934
6127.3
6348.6
6307.8
6784.9
6696.3
6633.2
6704.3
6732.4
7166.6
8287.1
7409.7
7380.5
7348.5
7430.6
7149.4
7339
7328.5
7318.7
7055.9
6463.1
6793.9
6923.1
6608.3
6242.7
6887.7
6829.2
7015.6
7203.2
7065.8
7391.6
7497.8
7598.9
7113.1
9739.6
7816.6
7704.2
7132.1
7435.7
8002.8
8369
8286.5
8072.6
7873.4
7985.3
8838.2
10710.4
9723.8
9013.1
8818.7
9044.7
9433.5
9477
9496.2
8984.9
9014.4
9409.6
9840.8
11647.9
10437.8
10379.8
10604.4
10148.6
10433.6
11100.3
11387.8
11311.7
11375.2
11934.7
11918.8
14107.4
12604.2
12274.1
12231.5
12712.1
12379.2
12668.9
13215.1
12713.8
12865.1
13416.7
13697.6
16441.5
14670.2
14402.2
15075.9
14203.7
14594
15734.9
14824.3
14555.2
15086.5
15366.8
15612.1
19260.2
17228.5
16731.3
17379.8
17075.4
17987
18760.1
17325.5
18013.1
17578.8
18132.2
20228.9
22804
20387
20369.3
20532.5
21438.8
22162.2
21835.2
21741.6
24296
23091.8
23108.6
24189.3
27031.8
26248.1
25076
26504.8
24933.4
25207.2
26610.9
24636.9
25162.7
26038.5
27536.3
28711.3
32415.1
29925.2
29123.4
28483.8
29304.4
27572.1
29113.5
28745.2
28283.4
31321.5
32676.5
33207.3
37040.4
33390.3
33635.6
32939.7
31936.3
30853
32777.2
33781.2
32808.2
32746.3
33466.5
34599.7
39544.7
37705.5
36802.7
36221.7
34784.3
35610.1
38255
36935.5
37189.7
36599.1
38233.4
39254.9
44875
42284.7
43535
40905.8
40406.4
40267.1
43609.8
43303.1
44163.1
42285.8
42844.2
45794.4
51339.2
47771.1
46385.3
45194.7
43962.7
46172.6
48072
47818.8
45355.3
46071.2
48659.3
48314.4
56463
49831.7
49811.4
50199.1
49931.5
52637
53587.4
53626.7
53000.5
53478.7
56647.3
57520.1
61041.3
59503.5
59196.3
60028.5
60852.7
61447.6
62279.2
62653.4
60975.5
63704.7
62449.7
65127.8
70460.5
67290.5
66577.6
65814.6
69016.5
67897
70735.4
69155.9
70135.5
75245.6
79114.2
77388.2
82518.8
79681
79660.7
78240.1
78071.3
78495
75189.7
76682.9
75521.1
77545.8
76174.1
77203.2
84598.2
76165
75510.3
80158.7
77101.2
76471.9
78097.9
78052.2
78773.3
79364.3
78911.3
81474.2
88811.3
84723.8
82137.5
84455.7
81797.5
81324.5
83075.8
82569.5
85285.2
84388.3
83466.5
86695.2
98081
90004.2
88952.6
